Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,height,SAND,SILT,CLAY,Upper_depth,Lower_depth,Thickness,KA5,SOC,BD
Boosen,5090,2,463505,5804885,74.04000854,7404,56.17288589,72.42339167,19.78746599,7.78914234,30,60,30,SL3,0.970148755,1.357139511
Boosen,5090,3,463505,5804885,74.04000854,7404,56.17288589,73.37140505,17.7813402,8.847254746,60,90,30,SL3,0.250481154,1.465659466
Boosen,5090,4,463505,5804885,74.04000854,7404,56.17288589,73.37140505,17.7813402,8.847254746,90,200,110,SL3,0.250481154,1.465659466
Boosen,5177,1,463405,5804855,79.5390625,7954,58.49891281,72.89143266,20.91903756,6.189529785,0,30,30,SL2,0.877602087,1.371307238
Boosen,5177,2,463405,5804855,79.5390625,7954,58.49891281,72.49803747,19.75759836,7.744364168,30,60,30,SL3,0.261931034,1.463603938
Boosen,5177,3,463405,5804855,79.5390625,7954,58.49891281,71.6522405,17.21813034,11.12962916,60,90,30,SL3,0.096678039,1.488540865
Boosen,5177,4,463405,5804855,79.5390625,7954,58.49891281,71.6522405,17.21813034,11.12962916,90,200,110,SL3,0.096678039,1.488540865
Boosen,5379,1,463285,5804785,61.02213287,6102,62.46038818,81.10530212,14.23065394,4.664043942,0,30,30,SL2,0.736386003,1.399507081
Boosen,5379,2,463285,5804785,61.02213287,6102,62.46038818,78.71231591,15.97978779,5.307896308,30,60,30,SL2,0.194236797,1.481366666
Boosen,5379,3,463285,5804785,61.02213287,6102,62.46038818,78.53955771,14.41651107,7.04393122,60,90,30,SL2,0.154479467,1.486924035
Boosen,5379,4,463285,5804785,61.02213287,6102,62.46038818,78.53955771,14.41651107,7.04393122,90,200,110,SL2,0.154479467,1.486924035
Boosen,5396,1,463455,5804785,92.09355164,9209,60.10073471,74.26502333,19.32111017,6.413866505,0,30,30,SL2,0.972906897,1.359068244
Boosen,5396,2,463455,5804785,92.09355164,9209,60.10073471,73.90818144,19.4341491,6.657669454,30,60,30,SL2,0.609117632,1.411073192
Boosen,5396,3,463455,5804785,92.09355164,9209,60.10073471,71.91895465,18.39141887,9.689626477,60,90,30,SL3,0.16006585,1.478874892
Boosen,5396,4,463455,5804785,92.09355164,9209,60.10073471,71.91895465,18.39141887,9.689626477,90,200,110,SL3,0.16006585,1.478874892
Boosen,5418,1,463375,5804775,91.21811676,9122,61.16736221,75.52444573,19.89137055,4.584183718,0,30,30,SL2,0.901584801,1.371044996
Boosen,5418,2,463375,5804775,91.21811676,9122,61.16736221,75.23991967,19.09314698,5.666933349,30,60,30,SL2,0.177411406,1.480952208
Boosen,5418,3,463375,5804775,91.21811676,9122,61.16736221,72.48870372,15.52897044,11.98232584,60,90,30,SL4,0.113681809,1.485957378
Boosen,5418,4,463375,5804775,91.21811676,9122,61.16736221,72.48870372,15.52897044,11.98232584,90,200,110,SL4,0.113681809,1.485957378
Boosen,5433,1,463525,5804775,75.06437683,7506,59.75112915,79.98472955,16.25356103,3.761709414,0,30,30,SU2,0.82613472,1.386036643
Boosen,5433,2,463525,5804775,75.06437683,7506,59.75112915,78.38300144,17.72280721,3.894191344,30,60,30,SU2,0.177411406,1.484598047
Boosen,5433,3,463525,5804775,75.06437683,7506,59.75112915,79.00665314,17.20410863,3.789238235,60,90,30,SU2,0.113681809,1.495850431
