Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,altura,SAND,SILT,CLAY,KA5,SOC,BD
Boosen,127,1,464225,5805275,49.67082214,4967,54.70463943,81.09238896,15.08396069,3.823650351,SU2,0.854335744,1.382948658
Boosen,128,1,464235,5805275,52.59993362,5260,54.44976807,81.55634492,14.5870351,3.856619983,SU2,0.850562941,1.383870728
Boosen,129,1,464245,5805275,54.30982971,5431,54.16273499,81.59103542,14.53780608,3.8711585,SU2,0.849378566,1.384061733
Boosen,130,1,464255,5805275,51.73705292,5174,53.96274185,81.21094889,14.97931066,3.809740455,SU2,0.84724718,1.384066393
Boosen,131,1,464265,5805275,52.15562439,5216,53.92734909,80.58779098,15.54017676,3.872032268,SU2,0.959793884,1.367688341
Boosen,132,1,464275,5805275,52.06867218,5207,54.09412003,80.68033036,15.35060593,3.969063712,SU2,1.004839754,1.361506914
Boosen,133,1,464155,5805265,54.89760971,5490,54.54577637,81.24731753,14.934303,3.818379474,SU2,0.773495916,1.394674621
Boosen,134,1,464165,5805265,53.32309341,5332,54.82962418,80.57815845,14.14533888,5.276502665,SL2,0.788113042,1.39122892
Boosen,135,1,464175,5805265,52.31614304,5232,55.10292816,79.9449183,14.53412749,5.520954205,SL2,0.79084788,1.390158335
Boosen,136,1,464185,5805265,51.75345993,5175,55.25403595,80.99777509,13.78642146,5.21580345,SL2,0.790280818,1.391312259
Boosen,137,1,464195,5805265,49.76068115,4976,55.30922318,81.21203629,14.19099042,4.596973293,SL2,0.853366508,1.382790921
Boosen,138,1,464205,5805265,51.58874512,5159,55.35887909,80.25827723,14.85799284,4.883729927,SL2,0.822674375,1.38618971
Boosen,139,1,464215,5805265,51.42240906,5142,55.33381271,80.77471919,15.46394707,3.761333745,SU2,0.824319235,1.386982676
Boosen,140,1,464225,5805265,48.12246704,4812,55.18759537,82.0787972,14.16664567,3.754557131,SU2,0.866623239,1.382098595
Boosen,141,1,464235,5805265,52.74082947,5274,54.88280106,82.09464952,14.0990901,3.806260388,SU2,0.847795697,1.384757837
Boosen,142,1,464245,5805265,54.43127823,5443,54.55046844,81.27292106,14.86559435,3.861484588,SU2,0.855811403,1.382876407
Boosen,143,1,464255,5805265,55.35107803,5535,54.2973175,81.05992417,15.06271049,3.877365341,SU2,0.848885682,1.383667236
Boosen,144,1,464265,5805265,53.69173431,5369,54.25178909,80.98999536,15.13588847,3.874116168,SU2,0.942329064,1.370462407
Boosen,145,1,464275,5805265,49.75315857,4975,54.39592743,80.69070272,15.38520218,3.924095105,SU2,0.986402623,1.36407379
Boosen,146,1,464155,5805255,55.24900436,5525,54.85156631,81.79019965,14.1820318,4.027768547,SU2,0.773151835,1.395087882
Boosen,147,1,464165,5805255,48.90244675,4890,55.17910767,79.54559969,14.92993668,5.524463633,SL2,0.800945866,1.388356055
Boosen,148,1,464175,5805255,52.20478821,5220,55.44342422,78.35905753,15.59656575,6.044376719,SL2,0.777008326,1.390508071
Boosen,149,1,464185,5805255,49.90992355,4991,55.64056396,81.05467342,14.25330353,4.692023057,SL2,0.777958623,1.393410734
Boosen,150,1,464195,5805255,48.18185425,4818,55.77518463,79.76048579,14.16169878,6.077815429,SL2,0.840133034,1.382647993
Boosen,151,1,464205,5805255,50.04801559,5005,55.83467865,79.67466515,15.6296708,4.695664054,SL2,0.815012938,1.386876874
Boosen,152,1,464215,5805255,48.32730865,4833,55.80617523,80.11969041,15.33016396,4.55014563,SL2,0.820008888,1.38662303
Boosen,153,1,464225,5805255,49.55276871,4955,55.6432457,81.67457159,14.61040342,3.715024988,SU2,0.844598151,1.384895006
Boosen,154,1,464235,5805255,52.89406586,5289,55.31455231,81.98633995,14.32332879,3.690331258,SU2,0.831406974,1.387059099
Boosen,155,1,464245,5805255,54.75490189,5475,54.96329498,81.20847603,14.9417316,3.849792375,SU2,0.864193416,1.381637579
Boosen,156,1,464255,5805255,54.78090286,5478,54.66875458,80.9024448,15.25822057,3.839334621,SU2,0.872516998,1.380198804
Boosen,157,1,464265,5805255,53.66525269,5367,54.56763458,81.16392671,14.98899781,3.847075477,SU2,0.900438164,1.376485762
Boosen,158,1,464275,5805255,51.97908401,5198,54.66270447,81.46051396,14.6760584,3.863427638,SU2,0.930854008,1.372475795
Boosen,159,1,464155,5805245,50.98852921,5099,55.14731979,81.64235087,14.59033268,3.767316452,SU2,0.814366691,1.389158225
Boosen,160,1,464165,5805245,48.43245316,4843,55.46015167,80.79776339,14.70535799,4.496878622,SU2,0.788288551,1.39179698
Boosen,161,1,464175,5805245,52.13831329,5214,55.73861694,80.39083244,14.91370876,4.695458798,SL2,0.814268632,1.387605794
Boosen,162,1,464185,5805245,49.27172089,4927,55.90219116,80.44637037,15.85048796,3.703141665,SU2,0.755598654,1.396633286
Boosen,163,1,464195,5805245,50.89324188,5089,56.05256271,81.18548107,15.10543099,3.709087944,SU2,0.817558258,1.388334112
Boosen,164,1,464205,5805245,49.50385284,4950,56.18782043,80.57551288,15.69945541,3.725031707,SU2,0.813942344,1.388314126
Boosen,165,1,464215,5805245,45.83948135,4584,56.18379211,81.40645836,14.91911664,3.674425,SU2,0.804297618,1.390446213
Boosen,166,1,464225,5805245,50.28845978,5029,55.99186325,81.53564944,14.70236662,3.761983932,SU2,0.842982343,1.384980114
Boosen,167,1,464235,5805245,54.33123398,5433,55.66983032,81.79806531,14.47955452,3.722380165,SU2,0.844933917,1.384950695
Boosen,168,1,464245,5805245,55.60429764,5560,55.31159973,81.68552846,14.646871,3.667600546,SU2,0.861773302,1.382489105
Boosen,169,1,464255,5805245,50.07082748,5007,55.00821686,81.52870393,14.59765488,3.873641193,SU2,0.851624143,1.383687099
