Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,height,SAND,SILT,CLAY,Upper_depth,Lower_depth,Thickness,KA5,SOC,BD
Boosen,20,1,464205,5805385,78.49093628,7849,50.49650192,72.45420849,21.20987091,6.335920597,0,30,30,SL2,0.820581932,1.378959826
Boosen,20,2,464205,5805385,78.49093628,7849,50.49650192,73.06616254,19.34049605,7.593341414,30,60,30,SL3,0.324081964,1.454130098
Boosen,20,3,464205,5805385,78.49093628,7849,50.49650192,74.96919069,16.02568501,9.005124305,60,90,30,SL3,0.230478742,1.470238228
Boosen,20,4,464205,5805385,78.49093628,7849,50.49650192,74.96919069,16.02568501,9.005124305,90,200,110,SL3,0.230478742,1.470238228
Boosen,21,1,464215,5805385,77.65424347,7765,50.45472336,72.08687923,22.28069405,5.63242672,0,30,30,SL2,0.860299408,1.373345126
Boosen,21,2,464215,5805385,77.65424347,7765,50.45472336,72.50998169,21.00642866,6.483589644,30,60,30,SL2,0.177411406,1.478158989
Boosen,21,3,464215,5805385,77.65424347,7765,50.45472336,74.14572276,17.39316484,8.461112395,60,90,30,SL3,0.113681809,1.489215185
Boosen,21,4,464215,5805385,77.65424347,7765,50.45472336,74.14572276,17.39316484,8.461112395,90,200,110,SL3,0.113681809,1.489215185
Boosen,22,1,464225,5805385,82.30429077,8230,50.39431381,72.08857283,22.42058451,5.490842659,0,30,30,SL2,0.88793481,1.369512695
Boosen,22,2,464225,5805385,82.30429077,8230,50.39431381,72.55209391,20.91353204,6.534374051,30,60,30,SL2,0.256766121,1.465117023
Boosen,22,3,464225,5805385,82.30429077,8230,50.39431381,74.24846399,17.37992341,8.371612596,60,90,30,SL3,0.091509344,1.493095014
Boosen,22,4,464225,5805385,82.30429077,8230,50.39431381,74.24846399,17.37992341,8.371612596,90,200,110,SL3,0.091509344,1.493095014
Boosen,23,1,464235,5805385,77.32104492,7732,50.27233124,72.78891547,21.56139833,5.649686195,0,30,30,SL2,0.852043522,1.375118099
Boosen,23,2,464235,5805385,77.32104492,7732,50.27233124,73.2779956,20.29001165,6.431992744,30,60,30,SL2,0.269266767,1.463766034
Boosen,23,3,464235,5805385,77.32104492,7732,50.27233124,73.51521762,17.99712817,8.487654212,60,90,30,SL3,0.099258728,1.491087273
Boosen,23,4,464235,5805385,77.32104492,7732,50.27233124,73.51521762,17.99712817,8.487654212,90,200,110,SL3,0.099258728,1.491087273
Boosen,24,1,464245,5805385,68.61055756,6861,50.2116127,71.45303898,21.0548582,7.492102818,0,30,30,SL2,0.909358955,1.364915339
Boosen,24,2,464245,5805385,68.61055756,6861,50.2116127,71.63407617,19.39560245,8.970321377,30,60,30,SL3,0.239,1.465963109
